"","Filename","Date","Hour","Foraging","Total_Events","Year","Month","Day"
"54","Potomac 2016 03 28 POD2591 file01.CP56",2016-06-11,3,TRUE,1,"2016","06","11"
"55","Potomac 2016 03 28 POD2591 file01.CP57",2016-06-11,4,FALSE,4,"2016","06","11"
"56","Potomac 2016 03 28 POD2591 file01.CP58",2016-06-11,6,FALSE,4,"2016","06","11"
"57","Potomac 2016 03 28 POD2591 file01.CP59",2016-06-11,8,FALSE,1,"2016","06","11"
"58","Potomac 2016 03 28 POD2591 file01.CP60",2016-06-11,8,TRUE,1,"2016","06","11"
"59","Potomac 2016 03 28 POD2591 file01.CP61",2016-06-11,9,FALSE,9,"2016","06","11"
"60","Potomac 2016 03 28 POD2591 file01.CP62",2016-06-11,9,TRUE,8,"2016","06","11"
"61","Potomac 2016 03 28 POD2591 file01.CP63",2016-06-11,13,FALSE,11,"2016","06","11"
"62","Potomac 2016 03 28 POD2591 file01.CP64",2016-06-11,13,TRUE,2,"2016","06","11"
"63","Potomac 2016 03 28 POD2591 file01.CP65",2016-06-11,21,FALSE,28,"2016","06","11"
"64","Potomac 2016 03 28 POD2591 file01.CP66",2016-06-11,21,TRUE,29,"2016","06","11"
"65","Potomac 2016 03 28 POD2591 file01.CP67",2016-06-11,22,FALSE,13,"2016","06","11"
"66","Potomac 2016 03 28 POD2591 file01.CP68",2016-06-11,22,TRUE,2,"2016","06","11"
"67","Potomac 2016 03 28 POD2591 file01.CP69",2016-06-12,4,FALSE,4,"2016","06","12"
"68","Potomac 2016 03 28 POD2591 file01.CP70",2016-06-12,9,TRUE,4,"2016","06","12"
"69","Potomac 2016 03 28 POD2591 file01.CP71",2016-06-12,22,FALSE,3,"2016","06","12"
"70","Potomac 2016 03 28 POD2591 file01.CP72",2016-06-12,22,TRUE,3,"2016","06","12"
"71","Potomac 2016 03 28 POD2591 file01.CP73",2016-06-13,3,FALSE,1,"2016","06","13"
"72","Potomac 2016 03 28 POD2591 file01.CP74",2016-06-13,5,FALSE,5,"2016","06","13"
"73","Potomac 2016 03 28 POD2591 file01.CP75",2016-06-13,6,FALSE,5,"2016","06","13"
"74","Potomac 2016 03 28 POD2591 file01.CP76",2016-06-13,8,FALSE,1,"2016","06","13"
"75","Potomac 2016 03 28 POD2591 file01.CP77",2016-06-13,9,FALSE,2,"2016","06","13"
"76","Potomac 2016 03 28 POD2591 file01.CP78",2016-06-13,12,FALSE,4,"2016","06","13"
"77","Potomac 2016 03 28 POD2591 file01.CP79",2016-06-13,12,TRUE,1,"2016","06","13"
"78","Potomac 2016 03 28 POD2591 file01.CP80",2016-06-14,5,FALSE,2,"2016","06","14"
"79","Potomac 2016 03 28 POD2591 file01.CP81",2016-06-14,12,FALSE,1,"2016","06","14"
"80","Potomac 2016 03 28 POD2591 file01.CP82",2016-06-14,21,FALSE,7,"2016","06","14"
"81","Potomac 2016 03 28 POD2591 file01.CP83",2016-06-14,21,TRUE,4,"2016","06","14"
"82","Potomac 2016 03 28 POD2591 file01.CP84",2016-06-14,22,FALSE,8,"2016","06","14"
"83","Potomac 2016 03 28 POD2591 file01.CP85",2016-06-14,22,TRUE,1,"2016","06","14"
"84","Potomac 2016 03 28 POD2591 file01.CP86",2016-06-14,23,FALSE,16,"2016","06","14"
"85","Potomac 2016 03 28 POD2591 file01.CP87",2016-06-14,23,TRUE,3,"2016","06","14"
"86","Potomac 2016 03 28 POD2591 file01.CP88",2016-06-15,0,FALSE,15,"2016","06","15"
"87","Potomac 2016 03 28 POD2591 file01.CP89",2016-06-15,0,TRUE,5,"2016","06","15"
"88","Potomac 2016 03 28 POD2591 file01.CP90",2016-06-15,1,FALSE,34,"2016","06","15"
"89","Potomac 2016 03 28 POD2591 file01.CP91",2016-06-15,1,TRUE,3,"2016","06","15"
"90","Potomac 2016 03 28 POD2591 file01.CP92",2016-06-15,3,FALSE,4,"2016","06","15"
"91","Potomac 2016 03 28 POD2591 file01.CP93",2016-06-15,5,FALSE,14,"2016","06","15"
"92","Potomac 2016 03 28 POD2591 file01.CP94",2016-06-15,5,TRUE,1,"2016","06","15"
"93","Potomac 2016 03 28 POD2591 file01.CP95",2016-06-15,22,FALSE,12,"2016","06","15"
"94","Potomac 2016 03 28 POD2591 file01.CP96",2016-06-15,22,TRUE,3,"2016","06","15"
"95","Potomac 2016 03 28 POD2591 file01.CP97",2016-06-15,23,FALSE,8,"2016","06","15"
