Filename,Date,Hour,Foraging,Total_Events
Potomac 2019 05 31 POD2807 file01.CP72,6/12/2019,19,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP73,6/13/2019,1,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP74,6/13/2019,1,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP75,6/13/2019,2,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP76,6/13/2019,2,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP77,6/13/2019,13,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP78,6/13/2019,20,FALSE,12
Potomac 2019 05 31 POD2807 file01.CP79,6/13/2019,20,TRUE,21
Potomac 2019 05 31 POD2807 file01.CP80,6/13/2019,21,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP81,6/13/2019,21,TRUE,32
Potomac 2019 05 31 POD2807 file01.CP82,6/13/2019,22,FALSE,11
Potomac 2019 05 31 POD2807 file01.CP83,6/13/2019,22,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP84,6/14/2019,1,FALSE,12
Potomac 2019 05 31 POD2807 file01.CP85,6/14/2019,12,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP86,6/14/2019,16,FALSE,12
Potomac 2019 05 31 POD2807 file01.CP87,6/14/2019,17,FALSE,33
Potomac 2019 05 31 POD2807 file01.CP88,6/14/2019,17,TRUE,23
Potomac 2019 05 31 POD2807 file01.CP89,6/14/2019,18,FALSE,11
Potomac 2019 05 31 POD2807 file01.CP90,6/14/2019,18,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP91,6/14/2019,19,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP92,6/14/2019,19,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP93,6/14/2019,20,FALSE,10
Potomac 2019 05 31 POD2807 file01.CP94,6/14/2019,20,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP95,6/15/2019,20,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP96,6/15/2019,20,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP97,6/15/2019,21,FALSE,15
Potomac 2019 05 31 POD2807 file01.CP98,6/15/2019,21,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP99,6/16/2019,9,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP100,6/17/2019,15,FALSE,13
Potomac 2019 05 31 POD2807 file01.CP101,6/17/2019,15,TRUE,28
Potomac 2019 05 31 POD2807 file01.CP102,6/17/2019,16,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP103,6/17/2019,16,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP104,6/17/2019,17,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP105,6/17/2019,17,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP106,6/17/2019,18,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP107,6/17/2019,18,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP108,6/17/2019,21,FALSE,7
Potomac 2019 05 31 POD2807 file01.CP109,6/17/2019,23,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP110,6/18/2019,8,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP111,6/18/2019,12,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP112,6/18/2019,13,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP113,6/19/2019,3,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP114,6/19/2019,9,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP115,6/19/2019,10,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP116,6/19/2019,10,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP117,6/19/2019,11,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP118,6/19/2019,14,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP119,6/19/2019,15,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP120,6/20/2019,1,FALSE,17
Potomac 2019 05 31 POD2807 file01.CP121,6/20/2019,1,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP122,6/20/2019,2,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP123,6/20/2019,5,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP124,6/20/2019,17,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP125,6/21/2019,2,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP126,6/21/2019,6,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP127,6/21/2019,19,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP128,6/22/2019,16,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP129,6/22/2019,16,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP130,6/22/2019,17,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP131,6/22/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP132,6/23/2019,17,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP133,6/23/2019,23,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP134,6/24/2019,2,FALSE,15
Potomac 2019 05 31 POD2807 file01.CP135,6/24/2019,4,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP136,6/24/2019,4,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP137,6/24/2019,5,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP138,6/24/2019,5,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP139,6/24/2019,7,FALSE,10
Potomac 2019 05 31 POD2807 file01.CP140,6/24/2019,11,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP141,6/24/2019,23,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP142,6/24/2019,23,TRUE,5
