Filename,Date,Hour,Foraging,n
Potomac 2018 06 08 POD2807 file01.CP82,6/28/2018,20,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP83,6/29/2018,6,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP84,6/29/2018,7,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP85,6/30/2018,23,TRUE,17
Potomac 2018 06 08 POD2807 file01.CP86,7/1/2018,0,TRUE,27
Potomac 2018 06 08 POD2807 file01.CP87,7/1/2018,1,TRUE,31
Potomac 2018 06 08 POD2807 file01.CP88,7/1/2018,2,TRUE,19
Potomac 2018 06 08 POD2807 file01.CP89,7/1/2018,3,TRUE,31
Potomac 2018 06 08 POD2807 file01.CP90,7/1/2018,4,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP91,7/1/2018,7,TRUE,22
Potomac 2018 06 08 POD2807 file01.CP92,7/1/2018,8,TRUE,25
Potomac 2018 06 08 POD2807 file01.CP93,7/1/2018,9,TRUE,28
Potomac 2018 06 08 POD2807 file01.CP94,7/1/2018,10,TRUE,19
Potomac 2018 06 08 POD2807 file01.CP95,7/1/2018,11,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP96,7/1/2018,12,TRUE,19
Potomac 2018 06 08 POD2807 file01.CP97,7/1/2018,13,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP98,7/1/2018,14,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP99,7/1/2018,15,TRUE,37
Potomac 2018 06 08 POD2807 file01.CP100,7/1/2018,16,TRUE,38
Potomac 2018 06 08 POD2807 file01.CP101,7/1/2018,17,TRUE,14
Potomac 2018 06 08 POD2807 file01.CP102,7/1/2018,19,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP103,7/1/2018,20,TRUE,18
Potomac 2018 06 08 POD2807 file01.CP104,7/1/2018,21,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP105,7/1/2018,22,TRUE,12
Potomac 2018 06 08 POD2807 file01.CP106,7/1/2018,23,TRUE,12
Potomac 2018 06 08 POD2807 file01.CP107,7/2/2018,0,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP108,7/2/2018,2,TRUE,16
Potomac 2018 06 08 POD2807 file01.CP109,7/2/2018,3,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP110,7/2/2018,8,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP111,7/2/2018,23,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP112,7/3/2018,0,TRUE,26
Potomac 2018 06 08 POD2807 file01.CP113,7/3/2018,1,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP114,7/3/2018,5,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP115,7/3/2018,6,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP116,7/3/2018,7,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP117,7/3/2018,16,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP118,7/3/2018,17,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP119,7/3/2018,21,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP120,7/3/2018,22,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP121,7/4/2018,2,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP122,7/4/2018,3,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP123,7/4/2018,4,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP124,7/4/2018,5,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP125,7/4/2018,12,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP126,7/5/2018,0,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP127,7/5/2018,6,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP128,7/5/2018,21,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP129,7/6/2018,0,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP130,7/6/2018,12,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP131,7/6/2018,16,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP132,7/7/2018,14,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP133,7/8/2018,10,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP134,7/8/2018,11,TRUE,13
Potomac 2018 06 08 POD2807 file01.CP135,7/8/2018,13,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP136,7/8/2018,14,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP137,7/8/2018,17,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP138,7/9/2018,1,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP139,7/9/2018,2,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP140,7/9/2018,12,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP141,7/9/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP142,7/9/2018,16,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP143,7/9/2018,20,TRUE,16
Potomac 2018 06 08 POD2807 file01.CP144,7/9/2018,21,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP145,7/9/2018,22,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP146,7/10/2018,7,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP147,7/10/2018,14,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP148,7/10/2018,15,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP149,7/10/2018,16,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP150,7/11/2018,11,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP151,7/11/2018,12,TRUE,18
Potomac 2018 06 08 POD2807 file01.CP152,7/11/2018,13,TRUE,17
Potomac 2018 06 08 POD2807 file01.CP153,7/11/2018,14,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP154,7/12/2018,12,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP155,7/12/2018,22,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP156,7/13/2018,14,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP157,7/14/2018,3,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP158,7/14/2018,5,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP159,7/14/2018,13,TRUE,22
Potomac 2018 06 08 POD2807 file01.CP160,7/14/2018,16,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP161,7/14/2018,20,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP162,7/15/2018,16,TRUE,19
Potomac 2018 06 08 POD2807 file01.CP163,7/16/2018,0,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP164,7/16/2018,10,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP165,7/16/2018,12,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP166,7/17/2018,3,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP167,7/17/2018,6,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP168,7/17/2018,8,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP169,7/17/2018,9,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP170,7/18/2018,23,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP171,7/20/2018,20,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP172,7/21/2018,23,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP173,7/22/2018,3,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP174,7/22/2018,8,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP175,7/22/2018,9,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP176,7/22/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP177,7/23/2018,8,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP178,7/23/2018,15,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP179,7/23/2018,16,TRUE,14
Potomac 2018 06 08 POD2807 file01.CP180,7/24/2018,22,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP181,7/25/2018,22,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP182,7/28/2018,4,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP183,7/28/2018,8,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP184,7/28/2018,17,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP185,7/28/2018,23,TRUE,26
Potomac 2018 06 08 POD2807 file01.CP186,7/29/2018,0,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP187,7/29/2018,2,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP188,7/29/2018,16,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP189,7/29/2018,18,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP190,7/30/2018,11,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP191,7/31/2018,1,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP192,7/31/2018,2,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP193,7/31/2018,3,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP194,7/31/2018,5,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP195,7/31/2018,7,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP196,7/31/2018,8,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP197,7/31/2018,9,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP198,8/1/2018,15,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP199,8/1/2018,16,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP200,8/2/2018,1,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP201,8/2/2018,3,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP202,8/2/2018,7,TRUE,14
Potomac 2018 06 08 POD2807 file01.CP203,8/2/2018,8,TRUE,13
Potomac 2018 06 08 POD2807 file01.CP204,8/2/2018,17,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP205,8/2/2018,19,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP206,8/2/2018,23,TRUE,20
Potomac 2018 06 08 POD2807 file01.CP207,8/3/2018,0,TRUE,15
Potomac 2018 06 08 POD2807 file01.CP208,8/3/2018,4,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP209,8/3/2018,5,TRUE,21
Potomac 2018 06 08 POD2807 file01.CP210,8/3/2018,10,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP211,8/4/2018,12,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP212,8/4/2018,13,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP213,8/4/2018,21,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP214,8/5/2018,2,TRUE,18
Potomac 2018 06 08 POD2807 file01.CP215,8/5/2018,3,TRUE,22
Potomac 2018 06 08 POD2807 file01.CP216,8/5/2018,16,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP217,8/5/2018,17,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP218,8/6/2018,11,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP219,8/6/2018,13,TRUE,22
Potomac 2018 06 08 POD2807 file01.CP220,8/6/2018,23,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP221,8/8/2018,1,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP222,8/8/2018,17,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP223,8/9/2018,3,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP224,8/9/2018,4,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP225,8/9/2018,9,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP226,8/9/2018,20,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP227,8/9/2018,21,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP228,8/10/2018,3,TRUE,1
