Filename,Date,Hour,Foraging,n
Potomac 2016 03 28 POD2591 file01.CP3,5/16/2016,10,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP4,5/16/2016,10,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP5,5/20/2016,9,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP6,5/20/2016,9,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP7,5/20/2016,10,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP8,5/20/2016,13,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP9,5/21/2016,2,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP10,5/21/2016,3,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP11,5/21/2016,22,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP12,5/22/2016,0,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP13,5/22/2016,1,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP14,5/23/2016,3,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP15,5/23/2016,23,FALSE,6
Potomac 2016 03 28 POD2591 file01.CP16,5/23/2016,23,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP17,5/24/2016,0,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP18,5/25/2016,6,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP19,5/27/2016,7,FALSE,12
Potomac 2016 03 28 POD2591 file01.CP20,5/27/2016,7,TRUE,8
Potomac 2016 03 28 POD2591 file01.CP21,5/28/2016,3,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP22,5/28/2016,3,TRUE,7
Potomac 2016 03 28 POD2591 file01.CP23,5/28/2016,4,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP24,5/28/2016,4,TRUE,21
Potomac 2016 03 28 POD2591 file01.CP25,5/28/2016,5,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP26,5/28/2016,5,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP27,5/28/2016,6,FALSE,26
Potomac 2016 03 28 POD2591 file01.CP28,5/28/2016,6,TRUE,28
Potomac 2016 03 28 POD2591 file01.CP29,5/28/2016,7,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP30,5/28/2016,7,TRUE,10
Potomac 2016 03 28 POD2591 file01.CP31,5/28/2016,21,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP32,5/29/2016,8,FALSE,9
Potomac 2016 03 28 POD2591 file01.CP33,5/29/2016,8,TRUE,7
Potomac 2016 03 28 POD2591 file01.CP34,5/30/2016,19,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP35,5/30/2016,19,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP36,6/4/2016,22,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP37,6/4/2016,23,FALSE,31
Potomac 2016 03 28 POD2591 file01.CP38,6/4/2016,23,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP39,6/7/2016,2,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP40,6/7/2016,2,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP41,6/9/2016,1,FALSE,12
Potomac 2016 03 28 POD2591 file01.CP42,6/9/2016,1,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP43,6/9/2016,14,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP44,6/10/2016,0,FALSE,14
Potomac 2016 03 28 POD2591 file01.CP45,6/10/2016,0,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP46,6/10/2016,1,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP47,6/10/2016,15,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP48,6/10/2016,15,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP49,6/10/2016,16,FALSE,20
Potomac 2016 03 28 POD2591 file01.CP50,6/10/2016,17,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP51,6/10/2016,18,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP52,6/10/2016,18,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP53,6/10/2016,19,FALSE,6
Potomac 2016 03 28 POD2591 file01.CP54,6/10/2016,21,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP55,6/11/2016,3,FALSE,13
Potomac 2016 03 28 POD2591 file01.CP56,6/11/2016,3,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP57,6/11/2016,4,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP58,6/11/2016,6,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP59,6/11/2016,8,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP60,6/11/2016,8,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP61,6/11/2016,9,FALSE,9
Potomac 2016 03 28 POD2591 file01.CP62,6/11/2016,9,TRUE,8
Potomac 2016 03 28 POD2591 file01.CP63,6/11/2016,13,FALSE,11
Potomac 2016 03 28 POD2591 file01.CP64,6/11/2016,13,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP65,6/11/2016,21,FALSE,28
Potomac 2016 03 28 POD2591 file01.CP66,6/11/2016,21,TRUE,29
Potomac 2016 03 28 POD2591 file01.CP67,6/11/2016,22,FALSE,13
Potomac 2016 03 28 POD2591 file01.CP68,6/11/2016,22,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP69,6/12/2016,4,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP70,6/12/2016,9,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP71,6/12/2016,22,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP72,6/12/2016,22,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP73,6/13/2016,3,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP74,6/13/2016,5,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP75,6/13/2016,6,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP76,6/13/2016,8,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP77,6/13/2016,9,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP78,6/13/2016,12,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP79,6/13/2016,12,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP80,6/14/2016,5,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP81,6/14/2016,12,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP82,6/14/2016,21,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP83,6/14/2016,21,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP84,6/14/2016,22,FALSE,8
Potomac 2016 03 28 POD2591 file01.CP85,6/14/2016,22,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP86,6/14/2016,23,FALSE,16
Potomac 2016 03 28 POD2591 file01.CP87,6/14/2016,23,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP88,6/15/2016,0,FALSE,15
Potomac 2016 03 28 POD2591 file01.CP89,6/15/2016,0,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP90,6/15/2016,1,FALSE,34
Potomac 2016 03 28 POD2591 file01.CP91,6/15/2016,1,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP92,6/15/2016,3,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP93,6/15/2016,5,FALSE,14
Potomac 2016 03 28 POD2591 file01.CP94,6/15/2016,5,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP95,6/15/2016,22,FALSE,12
Potomac 2016 03 28 POD2591 file01.CP96,6/15/2016,22,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP97,6/15/2016,23,FALSE,8
Potomac 2016 03 28 POD2591 file01.CP98,6/15/2016,23,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP99,6/16/2016,6,FALSE,21
Potomac 2016 03 28 POD2591 file01.CP100,6/16/2016,6,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP101,6/16/2016,7,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP102,6/16/2016,7,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP103,6/16/2016,12,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP104,6/16/2016,12,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP105,6/16/2016,16,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP106,6/16/2016,16,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP107,6/17/2016,2,FALSE,6
Potomac 2016 03 28 POD2591 file01.CP108,6/17/2016,2,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP109,6/17/2016,16,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP110,6/18/2016,1,FALSE,8
Potomac 2016 03 28 POD2591 file01.CP111,6/18/2016,1,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP112,6/18/2016,6,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP113,6/18/2016,7,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP114,6/18/2016,8,FALSE,8
Potomac 2016 03 28 POD2591 file01.CP115,6/18/2016,8,TRUE,11
Potomac 2016 03 28 POD2591 file01.CP116,6/18/2016,9,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP117,6/18/2016,9,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP118,6/18/2016,11,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP119,6/18/2016,12,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP120,6/18/2016,18,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP121,6/18/2016,18,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP122,6/19/2016,9,FALSE,23
Potomac 2016 03 28 POD2591 file01.CP123,6/19/2016,9,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP124,6/20/2016,5,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP125,6/20/2016,6,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP126,6/21/2016,6,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP127,6/21/2016,20,FALSE,13
Potomac 2016 03 28 POD2591 file01.CP128,6/21/2016,20,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP129,6/22/2016,2,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP130,6/22/2016,2,TRUE,7
Potomac 2016 03 28 POD2591 file01.CP131,6/22/2016,3,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP132,6/22/2016,3,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP133,6/22/2016,7,FALSE,18
Potomac 2016 03 28 POD2591 file01.CP134,6/22/2016,7,TRUE,14
Potomac 2016 03 28 POD2591 file01.CP135,6/22/2016,19,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP136,6/22/2016,19,TRUE,13
Potomac 2016 03 28 POD2591 file01.CP137,6/22/2016,23,FALSE,10
Potomac 2016 03 28 POD2591 file01.CP138,6/23/2016,0,FALSE,9
Potomac 2016 03 28 POD2591 file01.CP139,6/23/2016,0,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP140,6/23/2016,9,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP141,6/23/2016,9,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP142,6/23/2016,13,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP143,6/23/2016,13,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP144,6/23/2016,17,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP145,6/24/2016,2,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP146,6/24/2016,2,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP147,6/24/2016,7,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP148,6/24/2016,10,FALSE,7
Potomac 2016 03 28 POD2591 file01.CP149,6/24/2016,10,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP150,6/24/2016,12,FALSE,4
Potomac 2016 03 28 POD2591 file01.CP151,6/24/2016,16,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP152,6/24/2016,17,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP153,6/24/2016,17,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP154,6/25/2016,1,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP155,6/25/2016,8,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP156,6/25/2016,10,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP157,6/26/2016,0,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP158,6/26/2016,0,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP159,6/26/2016,1,FALSE,13
Potomac 2016 03 28 POD2591 file01.CP160,6/26/2016,16,FALSE,14
Potomac 2016 03 28 POD2591 file01.CP161,6/26/2016,17,FALSE,9
Potomac 2016 03 28 POD2591 file01.CP162,6/26/2016,17,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP163,6/26/2016,20,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP164,6/26/2016,21,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP165,6/27/2016,0,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP166,6/27/2016,13,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP167,6/27/2016,16,FALSE,9
Potomac 2016 03 28 POD2591 file01.CP168,6/27/2016,16,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP169,6/28/2016,1,FALSE,17
Potomac 2016 03 28 POD2591 file01.CP170,6/28/2016,1,TRUE,13
Potomac 2016 03 28 POD2591 file01.CP171,6/28/2016,2,FALSE,21
Potomac 2016 03 28 POD2591 file01.CP172,6/28/2016,2,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP173,6/28/2016,3,FALSE,5
Potomac 2016 03 28 POD2591 file01.CP174,6/28/2016,9,FALSE,1
Potomac 2016 03 28 POD2591 file01.CP175,6/28/2016,23,FALSE,13
Potomac 2016 03 28 POD2591 file01.CP176,6/28/2016,23,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP177,6/29/2016,0,FALSE,21
Potomac 2016 03 28 POD2591 file01.CP178,6/29/2016,0,TRUE,8
Potomac 2016 03 28 POD2591 file01.CP179,6/29/2016,1,FALSE,16
Potomac 2016 03 28 POD2591 file01.CP180,6/29/2016,1,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP181,6/29/2016,2,FALSE,2
Potomac 2016 03 28 POD2591 file01.CP182,6/29/2016,5,FALSE,16
Potomac 2016 03 28 POD2591 file01.CP183,6/29/2016,5,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP184,6/29/2016,6,FALSE,3
Potomac 2016 03 28 POD2591 file01.CP185,6/29/2016,15,FALSE,10
