Filename,Date,Hour,Foraging,n
Potomac 2016 03 28 POD2591 file01.CP3,5/16/2016,10,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP4,5/20/2016,9,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP5,5/23/2016,23,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP6,5/27/2016,7,TRUE,8
Potomac 2016 03 28 POD2591 file01.CP7,5/28/2016,3,TRUE,7
Potomac 2016 03 28 POD2591 file01.CP8,5/28/2016,4,TRUE,21
Potomac 2016 03 28 POD2591 file01.CP9,5/28/2016,5,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP10,5/28/2016,6,TRUE,28
Potomac 2016 03 28 POD2591 file01.CP11,5/28/2016,7,TRUE,10
Potomac 2016 03 28 POD2591 file01.CP12,5/29/2016,8,TRUE,7
Potomac 2016 03 28 POD2591 file01.CP13,5/30/2016,19,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP14,6/4/2016,23,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP15,6/7/2016,2,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP16,6/9/2016,1,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP17,6/10/2016,0,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP18,6/10/2016,15,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP19,6/10/2016,17,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP20,6/10/2016,18,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP21,6/11/2016,3,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP22,6/11/2016,8,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP23,6/11/2016,9,TRUE,8
Potomac 2016 03 28 POD2591 file01.CP24,6/11/2016,13,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP25,6/11/2016,21,TRUE,29
Potomac 2016 03 28 POD2591 file01.CP26,6/11/2016,22,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP27,6/12/2016,9,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP28,6/12/2016,22,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP29,6/13/2016,12,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP30,6/14/2016,21,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP31,6/14/2016,22,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP32,6/14/2016,23,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP33,6/15/2016,0,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP34,6/15/2016,1,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP35,6/15/2016,5,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP36,6/15/2016,22,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP37,6/15/2016,23,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP38,6/16/2016,6,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP39,6/16/2016,7,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP40,6/16/2016,12,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP41,6/16/2016,16,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP42,6/17/2016,2,TRUE,4
Potomac 2016 03 28 POD2591 file01.CP43,6/18/2016,1,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP44,6/18/2016,8,TRUE,11
Potomac 2016 03 28 POD2591 file01.CP45,6/18/2016,9,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP46,6/18/2016,12,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP47,6/18/2016,18,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP48,6/19/2016,9,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP49,6/20/2016,6,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP50,6/21/2016,20,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP51,6/22/2016,2,TRUE,7
Potomac 2016 03 28 POD2591 file01.CP52,6/22/2016,3,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP53,6/22/2016,7,TRUE,14
Potomac 2016 03 28 POD2591 file01.CP54,6/22/2016,19,TRUE,13
Potomac 2016 03 28 POD2591 file01.CP55,6/23/2016,0,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP56,6/23/2016,9,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP57,6/23/2016,13,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP58,6/24/2016,2,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP59,6/24/2016,10,TRUE,2
Potomac 2016 03 28 POD2591 file01.CP60,6/24/2016,17,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP61,6/26/2016,0,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP62,6/26/2016,17,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP63,6/27/2016,16,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP64,6/28/2016,1,TRUE,13
Potomac 2016 03 28 POD2591 file01.CP65,6/28/2016,2,TRUE,1
Potomac 2016 03 28 POD2591 file01.CP66,6/28/2016,23,TRUE,5
Potomac 2016 03 28 POD2591 file01.CP67,6/29/2016,0,TRUE,8
Potomac 2016 03 28 POD2591 file01.CP68,6/29/2016,1,TRUE,3
Potomac 2016 03 28 POD2591 file01.CP69,6/29/2016,5,TRUE,4
